Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150354,32694026.238,6453,1403185.491,4568985,993512081.295
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616830,45589596.885,43898,3244479.2309999997,3265368,241341716.19599998
562,151.883,123677,18784433.791,1151,174817.333,3475468,527864506.244
2322,74.3347,86885,6458570.4095,16,1189.3552,3304526,245640948.8522
533,77.6496,701608,54479580.55680001,7787,604657.4352000001,3640315,282669003.624
655,136.191,239545,32623873.095,3729,507856.239,4775535,650384887.1850001
414,208.958,293470,61322904.26,6658,1391242.364,3911513,817341933.454
253,149.505,692133,103477344.16499999,9017,1348086.585,2962415,442895854.575
853,129.616,640170,82976274.72000001,1489,192998.22400000002,2794760,362245612.16
907,262.418,95709,25115764.362,872,228828.496,4141767,1086874212.606
1114,12.9007,642691,8291163.7837000005,1925,24833.8475,6081399,78454304.0793
939,1055.11,169741,179095426.51,6946,7328794.06,3781105,3989481696.5499997
2606,11.2554,5188951,58403719.0854,17396,195798.93839999998,3231106,36367390.4724
2837,150.956,243437,36748275.772,6294,950117.0639999999,4412816,666141052.096
1793,150.359,955046,143599761.514,75871,11407887.689000001,3088053,464316561.027
1046,85.9267,724675,62268931.3225,8734,750483.7978,3180620,273300180.55399996
554,46.3771,134514,6238369.2294,1753,81299.0563,3431835,159158554.9785
1970,47.9169,52149963,2498864562.0747,4118,197321.7942,12330913,590859125.1297

weighted_avg,NA,NA,3457083626.3434997,NA,30038172.7676,NA,11944583555.130102
weighted_%,NA,NA,0.22402473005962142,NA,0.0019465232181448049,NA,0.7740287467222338
weighted_total,15431705354.241201
