Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,6412,1394270.164,662,143949.914
2298,16.1495,0,0.0,0,0.0
2235,73.9095,87,6430.126499999999,56,4138.932
562,151.883,2198,333838.83400000003,679,103128.557
2322,74.3347,167,12413.8949,30,2230.041
533,77.6496,1676,130140.7296,988,76717.80480000001
655,136.191,179,24378.189000000002,153,20837.223
414,208.958,24397,5097948.326,11776,2460689.408
253,149.505,10947,1636631.2349999999,806,120501.03
853,129.616,92,11924.672,65,8425.04
907,262.418,1254,329072.172,462,121237.11600000001
1114,12.9007,945,12191.1615,78,1006.2546
939,1055.11,48899,51593823.88999999,15648,16510361.28
2606,11.2554,85,956.709,59,664.0686
2837,150.956,8474,1279201.1439999999,871,131482.67599999998
1793,150.359,75,11276.925000000001,151,22704.209000000003
1046,85.9267,6688,574677.7696,588,50524.8996
554,46.3771,200,9275.42,99,4591.332899999999
1970,47.9169,124,5941.6956,12,575.0028

weighted_avg,NA,NA,62464393.05769999,NA,19783764.789299995
weighted_%,NA,NA,0.7594625179800107,NA,0.24053748201998923
weighted_total,82248157.84699999
