Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,2601,565579.647,356,77411.132
2298,16.1495,0,0.0,0,0.0
2235,73.9095,26,1921.647,40,2956.3799999999997
562,151.883,1386,210509.83800000002,659,100090.89700000001
2322,74.3347,34,2527.3797999999997,14,1040.6858
533,77.6496,768,59634.8928,1000,77649.6
655,136.191,50,6809.55,135,18385.785
414,208.958,6677,1395212.5659999999,5194,1085327.852
253,149.505,5777,863690.385,826,123491.12999999999
853,129.616,53,6869.648000000001,94,12183.904
907,262.418,1162,304929.716,571,149840.678
1114,12.9007,34,438.6238,9,116.1063
939,1055.11,14422,15216796.419999998,6689,7057630.789999999
2606,11.2554,32,360.1728,74,832.8996
2837,150.956,3710,560046.76,732,110499.79199999999
1793,150.359,29,4360.411,124,18644.516
1046,85.9267,6337,544517.4979,772,66335.4124
554,46.3771,300,13913.13,152,7049.3192
1970,47.9169,3249,155682.0081,343,16435.4967

weighted_avg,NA,NA,19913800.2932,NA,8925922.375999998
weighted_%,NA,NA,0.6904990218393248,NA,0.3095009781606752
weighted_total,28839722.6692
