Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,24788,5390076.2360000005,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,4262,315002.289,0,0.0
562,151.883,25401,3857980.083,0,0.0
2322,74.3347,1642,122057.5774,0,0.0
533,77.6496,65196,5062443.3216,0,0.0
655,136.191,7671,1044721.161,0,0.0
414,208.958,272918,57028399.444,0,0.0
253,149.505,80458,12028873.29,0,0.0
853,129.616,5876,761623.616,0,0.0
907,262.418,13207,3465754.526,0,0.0
1114,12.9007,804,10372.1628,0,0.0
939,1055.11,340625,359396843.74999994,0,0.0
2606,11.2554,4946,55669.208399999996,0,0.0
2837,150.956,34310,5179300.359999999,0,0.0
1793,150.359,5518,829680.962,0,0.0
1046,85.9267,72456,6225904.9752,0,0.0
554,46.3771,5908,273995.9068,0,0.0
1970,47.9169,403731,19345537.9539,0,0.0

weighted_avg,NA,NA,480394236.8230999,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,480394236.8230999
