Simpoints,Weight,NODE_INST_COUNT_val,NODE_INST_COUNT_w_val
2766,217.447,10748009,2337122313.0230002
2298,16.1495,10000000,161495000.0
2235,73.9095,9999998,739094852.181
562,151.883,10019908,1521853686.7640002
2322,74.3347,9999997,743346776.9959
533,77.6496,10241731,795266315.4576001
655,136.191,9999996,1361909455.236
414,208.958,10061513,2102433633.454
253,149.505,9999998,1495049700.99
853,129.616,9999998,1296159740.7680001
907,262.418,10122228,2656254827.304
1114,12.9007,12981578,167471443.3046
939,1055.11,10048262,10602021718.82
2606,11.2554,14519459,163422318.8286
2837,150.956,10164278,1534358749.768
1793,150.359,10000000,1503590000.0
1046,85.9267,10000013,859268117.0471
554,46.3771,10012638,464357113.7898
1970,47.9169,71379469,3420282878.1261

weighted_avg,NA,NA,33924758641.8577
weighted_%,NA,NA,1.0
weighted_total,33924758641.8577
