Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,681410416,148170650727.952
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2316881007,171239516786.8665
562,151.883,689145111,104669426894.013
2322,74.3347,706059176,52484697030.2072
533,77.6496,1555614766,120792864333.9936
655,136.191,950835985,129495303633.13501
414,208.958,856789912,179033106431.69598
253,149.505,954520446,142705579279.22998
853,129.616,2226882968,288639662780.288
907,262.418,920252264,241490758614.35202
1114,12.9007,1253714611,16173796082.1277
939,1055.11,845209060,891788531296.6
2606,11.2554,7595474527,85490103991.1958
2837,150.956,899577302,135796591200.71199
1793,150.359,3209931442,482642081687.67804
1046,85.9267,852962080,73292216759.536
554,46.3771,665253431,30852524894.8301
1970,47.9169,9930321010,475830198804.069

weighted_avg,NA,NA,3778895904073.5796
weighted_%,NA,NA,1.0
weighted_total,3778895904073.5796
