Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,320,69583.04000000001,2637,573407.7390000001
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,33,2439.0135,33,2439.0135
562,151.883,0,0.0,0,0.0,0,0.0,579,87940.25700000001,1466,222660.478
2322,74.3347,0,0.0,0,0.0,0,0.0,13,966.3511,35,2601.7145
533,77.6496,2,155.2992,0,0.0,0,0.0,811,62973.825600000004,957,74310.66720000001
655,136.191,0,0.0,0,0.0,0,0.0,123,16751.493,62,8443.842
414,208.958,122,25492.876,0,0.0,0,0.0,4174,872190.692,7697,1608349.726
253,149.505,0,0.0,0,0.0,0,0.0,632,94487.16,5971,892694.355
853,129.616,0,0.0,0,0.0,0,0.0,79,10239.664,68,8813.888
907,262.418,0,0.0,0,0.0,0,0.0,477,125173.386,1256,329597.00800000003
1114,12.9007,1,12.9007,0,0.0,0,0.0,8,103.2056,35,451.5245
939,1055.11,1,1055.11,0,0.0,0,0.0,5261,5550933.709999999,15850,16723493.499999998
2606,11.2554,3,33.7662,0,0.0,0,0.0,65,731.601,41,461.4714
2837,150.956,0,0.0,0,0.0,0,0.0,644,97215.66399999999,3798,573330.8879999999
1793,150.359,7,1052.5130000000001,0,0.0,0,0.0,107,16088.413,46,6916.514
1046,85.9267,0,0.0,0,0.0,0,0.0,655,56281.9885,6454,554570.9218
554,46.3771,0,0.0,0,0.0,0,0.0,131,6075.4001,321,14887.0491
1970,47.9169,1773,84956.66369999999,0,0.0,0,0.0,284,13608.399599999999,3308,158509.1052

weighted_avg,NA,NA,112759.12879999999,NA,0.0,NA,0.0,NA,7083783.263999999,NA,21755939.405199997
weighted_%,NA,NA,0.0038946273962527545,NA,0.0,NA,0.0,NA,0.2446692934106028,NA,0.7514360791931444
weighted_total,28952481.797999997
