Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4090859,889545016.973
2298,16.1495,2878184,46481232.508
2235,73.9095,12395977,916180462.0814999
562,151.883,3925709,596248460.047
2322,74.3347,4292818,319105338.1846
533,77.6496,9316615,723431428.1040001
655,136.191,4314921,587653405.911
414,208.958,4661500,974057717.0
253,149.505,5038094,753220243.47
853,129.616,12828324,1662756043.584
907,262.418,5278776,1385245840.368
1114,12.9007,7843712,101189375.39840001
939,1055.11,4754972,5017018506.919999
2606,11.2554,48690446,548030445.9083999
2837,150.956,4599165,694271551.7399999
1793,150.359,18309743,2753034647.737
1046,85.9267,4227441,363250054.5747
554,46.3771,3770237,174852658.3727
1970,47.9169,76603957,3670624147.1733

weighted_avg,NA,NA,22176196576.055595
weighted_%,NA,NA,1.0
weighted_total,22176196576.055595
