Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,87651,19059446.997,6790,1476465.1300000001
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,23,1699.9184999999998
562,151.883,16853,2559684.199,2933,445472.83900000004
2322,74.3347,647,48094.5509,17,1263.6898999999999
533,77.6496,964,74854.21440000001,1095,85026.312
655,136.191,537,73134.567,67,9124.797
414,208.958,53671,11214984.818,15918,3326193.444
253,149.505,106752,15959957.76,7806,1167036.03
853,129.616,9,1166.544,70,9073.12
907,262.418,7148,1875763.864,2500,656045.0
1114,12.9007,11001,141920.6007,273,3521.8911000000003
939,1055.11,126482,133452423.01999998,36831,38860756.41
2606,11.2554,5,56.277,16,180.0864
2837,150.956,119134,17983992.104,10481,1582169.836
1793,150.359,12,1804.308,27,4059.693
1046,85.9267,86006,7390211.760199999,5023,431609.81409999996
554,46.3771,1906,88394.75259999999,627,29078.4417
1970,47.9169,1987,95210.88029999999,402,19262.5938

weighted_avg,NA,NA,210021175.1266,NA,48108039.0465
weighted_%,NA,NA,0.8136280730539899,NA,0.18637192694601015
weighted_total,258129214.1731
