Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1798340,391043637.98,2957,642990.779
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1694624,125248812.528,66,4878.027
562,151.883,1465499,222584384.617,2045,310600.73500000004
2322,74.3347,1563114,116193610.2558,48,3568.0656
533,77.6496,2359954,183249484.1184,1771,137517.44160000002
655,136.191,1250834,170352333.294,185,25195.335
414,208.958,1904166,397890719.028,12007,2508958.706
253,149.505,1604993,239954478.465,6603,987181.515
853,129.616,2475487,320862722.99200004,147,19053.552000000003
907,262.418,2106722,552841773.796,1733,454770.39400000003
1114,12.9007,471844,6087117.8908,44,567.6308
939,1055.11,2088842,2203958082.62,21112,22275482.319999997
2606,11.2554,1288957,14507726.6178,109,1226.8386
2837,150.956,1654877,249813612.41199997,4442,670546.5519999999
1793,150.359,1989552,299147049.16800004,180,27064.620000000003
1046,85.9267,1300636,111759359.3812,7109,610852.9103
554,46.3771,1754734,81379474.19139999,458,21240.7118
1970,47.9169,977859,46855971.9171,5366,257122.08539999998

weighted_avg,NA,NA,5754660329.365499,NA,28958818.219100002
weighted_%,NA,NA,0.9949929589967565,NA,0.0050070410032434474
weighted_total,5783619147.584599
