Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,45685,9934066.195
2298,16.1495,0,0.0
2235,73.9095,208,15373.176
562,151.883,19351,2939087.933
2322,74.3347,1108,82362.8476
533,77.6496,6066,471022.4736
655,136.191,10054,1369264.314
414,208.958,73093,15273367.094
253,149.505,55281,8264785.904999999
853,129.616,405,52494.48
907,262.418,12204,3202549.272
1114,12.9007,43932,566753.5524
939,1055.11,141569,149370867.58999997
2606,11.2554,369,4153.2426
2837,150.956,68275,10306520.899999999
1793,150.359,401,60293.959
1046,85.9267,39765,3416875.2254999997
554,46.3771,3296,152858.9216
1970,47.9169,3548,170009.1612

weighted_avg,NA,NA,205652706.24249995
weighted_%,NA,NA,1.0
weighted_total,205652706.24249995
