Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688168,367087067.096,359393,78148929.671
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555987,115002221.1765,329688,24367075.235999998
562,151.883,1197821,181928646.94300002,901636,136943180.588
2322,74.3347,1462569,108719627.8443,266761,19829598.9067
533,77.6496,1552414,120544326.13440001,1671663,129803963.28480001
655,136.191,1192128,162357104.448,164258,22370461.278
414,208.958,1531791,320079983.778,1115802,233155754.31599998
253,149.505,1297764,194022206.82,603878,90282780.39
853,129.616,1843139,238900304.624,1252113,162293878.608
907,262.418,1425824,374161882.432,1770219,464537329.542
1114,12.9007,414087,5342012.1609000005,155783,2009709.7481
939,1055.11,1456833,1537119066.6299999,1775838,1873704432.1799998
2606,11.2554,1582042,17806515.5268,182546,2054628.2484
2837,150.956,1425641,215209062.79599997,742544,112091472.064
1793,150.359,1485650,223380848.35000002,1101351,165598035.009
1046,85.9267,1228792,105586041.5464,287372,24692927.6324
554,46.3771,1369456,63511397.857599996,800620,37130433.802
1970,47.9169,1351949,64781205.0381,32520,1558257.588

weighted_avg,NA,NA,4436157361.759001,NA,3581101550.4234
weighted_%,NA,NA,0.5533259447338245,NA,0.44667405526617554
weighted_total,8017258912.182401
