Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2766,217.447,2,434.894,0,0.0,5,1087.2350000000001
2298,16.1495,0,0.0,0,0.0,0,0.0
2235,73.9095,3,221.7285,0,0.0,0,0.0
562,151.883,4,607.532,0,0.0,18,2733.8940000000002
2322,74.3347,0,0.0,0,0.0,1,74.3347
533,77.6496,20,1552.9920000000002,0,0.0,43,3338.9328000000005
655,136.191,5,680.955,0,0.0,3,408.573
414,208.958,45,9403.11,0,0.0,165,34478.07
253,149.505,0,0.0,0,0.0,1,149.505
853,129.616,3,388.84800000000007,0,0.0,3,388.84800000000007
907,262.418,4,1049.672,0,0.0,2,524.836
1114,12.9007,1,12.9007,0,0.0,0,0.0
939,1055.11,33,34818.63,0,0.0,78,82298.57999999999
2606,11.2554,2,22.5108,0,0.0,3,33.7662
2837,150.956,0,0.0,0,0.0,1,150.956
1793,150.359,5,751.7950000000001,0,0.0,4,601.436
1046,85.9267,7,601.4869,0,0.0,19,1632.6073
554,46.3771,5,231.88549999999998,0,0.0,1,46.3771
1970,47.9169,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,50778.94039999999,NA,0.0,NA,127947.95109999999
weighted_%,NA,NA,0.28411471812567163,NA,0.0,NA,0.7158852818743284
weighted_total,178726.89149999997
