Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,30131,6551895.557,3310,719749.5700000001
2298,16.1495,0,0.0,0,0.0
2235,73.9095,9,665.1854999999999,52,3843.294
562,151.883,5482,832622.606,2126,322903.25800000003
2322,74.3347,162,12042.2214,10,743.347
533,77.6496,819,63595.02240000001,2510,194900.496
655,136.191,681,92746.071,287,39086.817
414,208.958,18515,3868857.37,20855,4357819.09
253,149.505,29948,4477375.74,3682,550477.41
853,129.616,36,4666.176,123,15942.768000000002
907,262.418,4278,1122624.2040000001,1772,465004.696
1114,12.9007,4092,52789.6644,261,3367.0827
939,1055.11,37709,39787142.989999995,30329,32000431.189999998
2606,11.2554,16,180.0864,135,1519.479
2837,150.956,29755,4491695.779999999,6267,946041.252
1793,150.359,31,4661.129,238,35785.442
1046,85.9267,23608,2028557.5336,2514,216019.72379999998
554,46.3771,1064,49345.2344,645,29913.229499999998
1970,47.9169,5066,242747.0154,566,27120.965399999997

weighted_avg,NA,NA,63684209.5865,NA,39930669.110400006
weighted_%,NA,NA,0.6146241774098156,NA,0.3853758225901843
weighted_total,103614878.69690001
