Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,790,171783.13,117630,25578290.61
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,135,9977.7825,25410,1878040.3949999998
562,151.883,0,0.0,0,0.0,0,0.0,2845,432107.135,148875,22611581.625
2322,74.3347,0,0.0,0,0.0,0,0.0,5,371.6735,8320,618464.704
533,77.6496,4545,352917.43200000003,0,0.0,0,0.0,14475,1123977.9600000002,494960,38433446.016
655,136.191,0,0.0,0,0.0,0,0.0,0,0.0,50975,6942336.225000001
414,208.958,5870,1226583.46,0,0.0,0,0.0,22725,4748570.55,1811450,378516969.1
253,149.505,0,0.0,0,0.0,0,0.0,4570,683237.85,398725,59611381.125
853,129.616,0,0.0,0,0.0,0,0.0,2560,331816.96,40335,5228061.36
907,262.418,0,0.0,0,0.0,0,0.0,945,247985.01,73480,19282474.64
1114,12.9007,65,838.5455000000001,0,0.0,0,0.0,5,64.5035,3935,50764.2545
939,1055.11,260,274328.6,0,0.0,0,0.0,26405,27860179.549999997,2153035,2271688758.85
2606,11.2554,7530,84753.162,0,0.0,0,0.0,540,6077.916,34540,388761.516
2837,150.956,0,0.0,0,0.0,0,0.0,3915,590992.74,188655,28478604.18
1793,150.359,3685,554072.915,0,0.0,0,0.0,0,0.0,52885,7951735.715000001
1046,85.9267,0,0.0,0,0.0,0,0.0,3715,319217.69049999997,357145,30688291.2715
554,46.3771,0,0.0,0,0.0,0,0.0,1565,72580.1615,44990,2086505.729
1970,47.9169,26570,1273152.033,0,0.0,0,0.0,31140,1492132.266,2247275,107682451.44749999

weighted_avg,NA,NA,3766646.1475,NA,0.0,NA,0.0,NA,38091072.8785,NA,3007716918.7635
weighted_%,NA,NA,0.001235138206104138,NA,0.0,NA,0.0,NA,0.01249061833295889,NA,0.986274243460937
weighted_total,3049574637.7895
