Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,121420656,26402557385.232
2298,16.1495,89521069,1445720503.8155
2235,73.9095,395679241,29244454862.6895
562,151.883,99345725,15088926750.175001
2322,74.3347,128936542,9584459168.607399
533,77.6496,267945622,20805870370.0512
655,136.191,135731995,18485476131.045002
414,208.958,121524029,25393418051.782
253,149.505,147458002,22045708589.01
853,129.616,396475278,51389539633.24801
907,262.418,122060751,32030938155.918
1114,12.9007,233926924,3017821068.4468
939,1055.11,110311577,116390848008.46999
2606,11.2554,1591147454,17909001053.7516
2837,150.956,127192870,19200526883.719997
1793,150.359,574408931,86367552456.229
1046,85.9267,127387490,10945986636.983
554,46.3771,103564959,4803042460.038899
1970,47.9169,2513797146,120453366465.16739

weighted_avg,NA,NA,631005214634.3802
weighted_%,NA,NA,1.0
weighted_total,631005214634.3802
