Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,93766,20389135.402,15743,3423268.1210000003
2298,16.1495,0,0.0,0,0.0
2235,73.9095,26,1921.647,189,13968.895499999999
562,151.883,19365,2941214.2950000004,7460,1133047.1800000002
2322,74.3347,931,69205.6057,115,8548.4905
533,77.6496,1806,140235.17760000002,5195,403389.672
655,136.191,811,110450.901,879,119711.889
414,208.958,62696,13100830.768,61617,12875365.086
253,149.505,119418,17853588.09,19721,2948388.105
853,129.616,70,9073.12,292,37847.872
907,262.418,8630,2264667.34,6007,1576344.926
1114,12.9007,15886,204940.5202,1938,25001.5566
939,1055.11,145309,153316978.98999998,115986,122377988.46
2606,11.2554,37,416.4498,256,2881.3824
2837,150.956,129238,19509251.527999997,22688,3424889.7279999997
1793,150.359,30,4510.77,251,37740.109000000004
1046,85.9267,96898,8326125.3766,12271,1054406.5357
554,46.3771,2340,108522.41399999999,1435,66551.1385
1970,47.9169,5343,256019.9967,726,34787.6694

weighted_avg,NA,NA,238607088.39159998,NA,149564126.8166
weighted_%,NA,NA,0.6146954721091835,NA,0.38530452789081643
weighted_total,388171215.2082
