Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,1701,369877.347,5373,1168342.731
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,143,10569.0585
562,151.883,552,83839.41600000001,2325,353127.97500000003
2322,74.3347,131,9737.8457,66,4906.0902
533,77.6496,46,3571.8816,2618,203286.6528
655,136.191,0,0.0,332,45215.412000000004
414,208.958,1674,349795.692,34499,7208842.042
253,149.505,3689,551523.945,8064,1205608.32
853,129.616,2,259.232,155,20090.480000000003
907,262.418,264,69278.352,1452,381030.936
1114,12.9007,696,8978.887200000001,327,4218.5289
939,1055.11,3549,3744585.3899999997,60998,64359599.779999994
2606,11.2554,1,11.2554,143,1609.5221999999999
2837,150.956,3982,601106.7919999999,5363,809577.0279999999
1793,150.359,0,0.0,226,33981.134000000005
1046,85.9267,2303,197889.19009999998,4973,427313.4791
554,46.3771,48,2226.1008,251,11640.6521
1970,47.9169,87,4168.7703,49,2347.9281

weighted_avg,NA,NA,5996850.097099999,NA,76251307.7499
weighted_%,NA,NA,0.07291166457801382,NA,0.9270883354219861
weighted_total,82248157.847
