Scarab gitrev: 3067351
Scarab started at Fri Jan  3 09:37:37 2025

Bloom Table Size 44144 hashes 8
Bloom Table Size 11040 hashes 8
Bloom Table Size 11040 hashes 8
L1I D-JOLT instruction prefetcher has been constructed!
Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (142.86 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 200.00 KIPS (166.67 KIPS)
** Heartbeat:  15% -- { 3000004 } -- 200.00 KIPS (176.47 KIPS)
** Heartbeat:  20% -- { 4000009 } -- 200.00 KIPS (181.82 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 166.67 KIPS (178.57 KIPS)
** Heartbeat:  30% -- { 6000012 } -- 200.00 KIPS (181.82 KIPS)
** Heartbeat:  35% -- { 7000013 } -- 200.00 KIPS (184.21 KIPS)
** Heartbeat:  40% -- { 8000016 } -- 200.00 KIPS (186.05 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 166.67 KIPS (183.67 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 200.00 KIPS (185.19 KIPS)
** Heartbeat:  55% -- { 11000019 } -- 200.00 KIPS (186.44 KIPS)
** Heartbeat:  60% -- { 12000020 } -- 166.67 KIPS (184.62 KIPS)
** Heartbeat:  65% -- { 13000021 } -- 200.00 KIPS (185.71 KIPS)
** Heartbeat:  70% -- { 14000022 } -- 166.67 KIPS (184.21 KIPS)
** Heartbeat:  75% -- { 15000024 } -- 200.00 KIPS (185.19 KIPS)
** Heartbeat:  80% -- { 16000026 } -- 166.67 KIPS (183.91 KIPS)
** Heartbeat:  85% -- { 17000028 } -- 200.00 KIPS (184.78 KIPS)
** Heartbeat:  90% -- { 18000028 } -- 166.67 KIPS (183.67 KIPS)
** Heartbeat:  95% -- { 19000031 } -- 200.00 KIPS (184.47 KIPS)
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
Warning could not fetch inst from frontend
** Core 0 Finished:    insts:20138303    cycles:9102387     time:2844495937500       -- 2.21 IPC (2.21 IPC) --  N/A  KIPS (185.19 KIPS)
Scarab finished at Fri Jan  3 09:39:25 2025

