Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,152660,33195459.02
2298,16.1495,0,0.0
2235,73.9095,28545,2109746.6774999998
562,151.883,192290,29205582.07
2322,74.3347,9340,694286.098
533,77.6496,588950,45731731.92
655,136.191,100835,13732819.485
414,208.958,2114125,441763331.75
253,149.505,487840,72934519.2
853,129.616,49485,6414047.760000001
907,262.418,125200,32854733.6
1114,12.9007,6550,84499.585
939,1055.11,2408815,2541564794.6499996
2606,11.2554,68135,766886.679
2837,150.956,303270,45780426.12
1793,150.359,67170,10099614.030000001
1046,85.9267,447350,38439309.245
554,46.3771,57285,2656712.1735
1970,47.9169,2359515,113060644.3035

weighted_avg,NA,NA,3431089144.3665
weighted_%,NA,NA,1.0
weighted_total,3431089144.3665
