Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150447,32714248.809,6471,1407099.537,4568874,993487944.678
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616683,45578732.188499995,43879,3243074.9505,3265534,241353985.17299998
562,151.883,123186,18709859.238,1164,176791.812,3475946,527937106.318
2322,74.3347,86894,6459239.4218,17,1263.6898999999999,3304516,245640205.5052
533,77.6496,701421,54465060.0816,7750,601784.4,3640539,282686397.1344
655,136.191,239779,32655741.789,3772,513712.452,4775258,650347162.278
414,208.958,293020,61228873.16,6665,1392705.07,3911956,817434501.848
253,149.505,692492,103531016.46,9109,1361841.045,2961964,442828427.82
853,129.616,640150,82973682.4,1505,195072.08000000002,2794764,362246130.624
907,262.418,95727,25120487.886,862,226204.316,4141759,1086872113.262
1114,12.9007,642208,8284932.7456,1936,24975.7552,6081871,78460393.2097
939,1055.11,169623,178970923.52999997,6943,7325628.7299999995,3781226,3989609364.8599997
2606,11.2554,5152642,57995046.7668,17342,195191.1468,3267466,36776636.8164
2837,150.956,243035,36687591.46,6225,939701.1,4413286,666212001.416
1793,150.359,955402,143653289.31800002,76100,11442319.9,3087410,464219880.19
1046,85.9267,724570,62259909.019,8721,749366.7507,3180738,273310319.90459996
554,46.3771,134741,6248896.8311,1783,82690.36929999999,3431578,159146636.0638
1970,47.9169,52150539,2498892162.2091,4089,195932.2041,12330366,590832914.5854

weighted_avg,NA,NA,3456480741.883,NA,30079651.075500004,NA,11945136055.7385
weighted_%,NA,NA,0.223985791411472,NA,0.001949212205897157,NA,0.7740649963826308
weighted_total,15431696448.697
