Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,8024,1744794.7280000001
2298,16.1495,0,0.0
2235,73.9095,178,13155.891
562,151.883,2978,452307.574
2322,74.3347,58,4311.4126
533,77.6496,3094,240247.8624
655,136.191,478,65099.298
414,208.958,41398,8650443.284
253,149.505,11707,1750255.035
853,129.616,210,27219.360000000004
907,262.418,1930,506466.74
1114,12.9007,8,103.2056
939,1055.11,70389,74268137.78999999
2606,11.2554,251,2825.1054
2837,150.956,9720,1467292.3199999998
1793,150.359,239,35935.801
1046,85.9267,7586,651839.9462
554,46.3771,348,16139.2308
1970,47.9169,142,6804.199799999999

weighted_avg,NA,NA,89903378.78379998
weighted_%,NA,NA,1.0
weighted_total,89903378.78379998
