Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,14087,11412597.137,0,0.0
5297,898.498,14912,13398402.176,1,898.498
5168,967.77,14092,13637814.84,0,0.0
2807,979.819,14095,13810548.805,0,0.0
2215,509.983,14223,7253488.209,0,0.0
1490,862.35,14441,12453196.35,1,862.35
3954,490.914,14161,6951833.154,0,0.0
2031,399.553,14271,5702020.863,0,0.0

weighted_avg,NA,NA,84619901.534,NA,1760.848
weighted_%,NA,NA,0.999979191522,NA,2.080847800000857e-05
weighted_total,84621662.382
