Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,315203,255362025.653,78275,63414569.525
5297,898.498,311423,279812942.65400004,81171,72931981.158
5168,967.77,315562,305391436.74,77819,75310893.63
2807,979.819,315565,309196582.735,77811,76240696.20899999
2215,509.983,314815,160550298.145,78366,39965327.778
1490,862.35,314073,270840851.55,78850,67996297.5
3954,490.914,315105,154689455.97,78076,38328601.464
2031,399.553,314518,125666610.454,78569,31392479.657

weighted_avg,NA,NA,1861510203.901,NA,465580846.92099994
weighted_%,NA,NA,0.7999301115628705,NA,0.20006988843712947
weighted_total,2327091050.822
