Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,334198,270750843.898,107366,86982672.26599999
5297,898.498,331193,297576248.114,111220,99930947.56
5168,967.77,334545,323762614.65,107427,103964627.78999999
2807,979.819,334563,327811184.097,107341,105174751.279
2215,509.983,333938,170302703.054,107926,55040425.258
1490,862.35,333412,287517838.2,108803,93826267.05
3954,490.914,334144,164035967.616,107311,52680472.254
2031,399.553,333688,133326041.464,107546,42970326.938

weighted_avg,NA,NA,1975083441.093,NA,640570490.3949999
weighted_%,NA,NA,0.7551012071269724,NA,0.24489879287302754
weighted_total,2615653931.488
