Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
517,810.151,1260756,1021402734.1559999,49943,40461371.393
5297,898.498,1268115,1139398791.27,51197,46000402.106
5168,967.77,1256956,1216444308.12,49342,47751707.339999996
2807,979.819,1258602,1233202153.0379999,49414,48416776.066
2215,509.983,1260874,643024305.142,50645,25828089.035
1490,862.35,1258769,1085499447.15,51857,44718883.95
3954,490.914,1258122,617629703.508,50033,24561900.162
2031,399.553,1263448,504814438.744,51102,20417957.406

weighted_avg,NA,NA,7461415881.128,NA,298157087.458
weighted_%,NA,NA,0.9615755804262599,NA,0.038424419573740036
weighted_total,7759572968.586
