Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,156606244,126874705182.844
5297,898.498,155788149,139975340300.202
5168,967.77,157460829,152385866481.33
2807,979.819,157110971,153940314494.249
2215,509.983,156610607,79868747189.681
1490,862.35,156938987,135336335439.45
3954,490.914,157720094,77427002225.916
2031,399.553,157087863,62764926925.239

weighted_avg,NA,NA,928573238238.911
weighted_%,NA,NA,1.0
weighted_total,928573238238.911
