Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1471702,1192300847.0019999,15826,12821449.726
5297,898.498,1476203,1326365443.094,16648,14958194.704
5168,967.77,1474966,1427427845.82,15778,15269475.06
2807,979.819,1471965,1442259274.335,15862,15541888.978
2215,509.983,1473079,751245247.6570001,15907,8112299.581
1490,862.35,1477619,1274224744.65,16208,13976968.8
3954,490.914,1473495,723359324.43,15845,7778532.33
2031,399.553,1473386,588695796.458,15967,6379662.751

weighted_avg,NA,NA,8725878523.446,NA,94838471.93
weighted_%,NA,NA,0.9892482128176523,NA,0.010751787182347679
weighted_total,8820716995.376
