Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,164837,133542860.387,0,0.0
5297,898.498,176225,158337810.05,21,18868.458000000002
5168,967.77,168402,162974403.54,0,0.0
2807,979.819,168806,165399326.114,0,0.0
2215,509.983,169715,86551764.845,0,0.0
1490,862.35,172799,149013217.65,26,22421.100000000002
3954,490.914,169503,83211395.742,0,0.0
2031,399.553,171132,68376303.996,0,0.0

weighted_avg,NA,NA,1007407082.324,NA,41289.558000000005
weighted_%,NA,NA,0.9999590157082463,NA,4.098429175369808e-05
weighted_total,1007448371.882
