Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,968783467,784860894573.517
5297,898.498,1005810697,903718899633.1061
5168,967.77,957794718,926924994238.86
2807,979.819,957800301,938470933125.5189
2215,509.983,983655851,501647761860.533
1490,862.35,1010012410,870984201763.5
3954,490.914,967577639,474997409072.04596
2031,399.553,990774196,395866802334.388

weighted_avg,NA,NA,5797471896601.469
weighted_%,NA,NA,1.0
weighted_total,5797471896601.469
