Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
517,810.151,1702525,1379302331.2749999,553838,448692409.538,149,120712.499,0,0.0
5297,898.498,1741149,1564418894.2020001,557229,500669142.04200006,210,188684.58000000002,193,173410.114
5168,967.77,1708536,1653469884.72,553706,535860055.62,438,423883.26,0,0.0
2807,979.819,1701797,1667453034.743,553758,542582609.8019999,469,459535.111,0,0.0
2215,509.983,1706788,870432864.604,553542,282297009.786,414,211132.962,0,0.0
1490,862.35,1720048,1483283392.8,554621,478277419.35,397,342352.95,195,168158.25
3954,490.914,1707162,838069726.068,553013,271481823.88199997,439,215511.24599999998,0,0.0
2031,399.553,1707924,682406157.972,552660,220816960.98,514,205370.242,0,0.0

weighted_avg,NA,NA,10138836286.384,NA,3280677431.0,NA,2167182.85,NA,341568.364
weighted_%,NA,NA,0.755388117558639,NA,0.2444249693870974,NA,0.00016146470139431776,NA,2.544835286925865e-05
weighted_total,13422022468.598001
