Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,14738,11940005.438,37,29975.587
5297,898.498,15575,13994106.350000001,46,41330.908
5168,967.77,14739,14263962.03,34,32904.18
2807,979.819,14749,14451350.431,48,47031.312
2215,509.983,14867,7581917.261,20,10199.66
1490,862.35,15103,13024072.05,36,31044.600000000002
3954,490.914,14807,7268963.598,23,11291.021999999999
2031,399.553,14920,5961330.76,12,4794.636

weighted_avg,NA,NA,88485707.91800001,NA,208571.905
weighted_%,NA,NA,0.9976484176271995,NA,0.002351582372800479
weighted_total,88694279.82300001
