Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,1039643,842267816.0929999,662882,537034515.1819999
5297,898.498,1042596,936770420.8080001,698553,627648473.394
5168,967.77,1039443,1005941752.11,669093,647528132.61
2807,979.819,1038964,1017996667.5159999,662833,649456367.227
2215,509.983,1041125,530956050.875,665663,339476813.72900003
1490,862.35,1041821,898414339.35,678227,584869053.45
3954,490.914,1040402,510747907.428,666760,327321818.64
2031,399.553,1042043,416351406.779,665881,266054751.193

weighted_avg,NA,NA,6159446360.959001,NA,3979389925.4249997
weighted_%,NA,NA,0.6075101902208303,NA,0.3924898097791697
weighted_total,10138836286.384
