Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,86141,69787217.291,26282,21292388.582
5297,898.498,86367,77600576.766,28852,25923464.296
5168,967.77,85828,83061763.56,26344,25494932.88
2807,979.819,86062,84325182.778,26261,25731026.759
2215,509.983,85687,43698913.321,26405,13466101.115
1490,862.35,85668,73875799.8,27330,23568025.5
3954,490.914,85667,42055129.638,26330,12925765.62
2031,399.553,85557,34184556.021,26383,10541406.799

weighted_avg,NA,NA,508589139.17499995,NA,158943111.551
weighted_%,NA,NA,0.7618944831831939,NA,0.23810551681680608
weighted_total,667532250.726
