Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1152418,51806490.2228,1056820,47508920.372
812,334.908,1044881,349939005.948,388011,129947987.988
1358,97.2156,932805,90683197.758,869445,84523617.342
1778,40.8635,1379367,56365763.4045,208364,8514482.314000001
828,45.4532,1162127,52822390.9564,2687360,122149111.552
2213,8.07837,1190580,9617945.7546,293081,2367616.7579699997
1726,65.5195,1229210,80537224.595,164826,10799317.106999999
2054,37.2896,1401816,52273157.9136,89341,3331490.1536
1903,16.1097,822143,13244477.0871,29616,477104.8752
509,133.977,1054456,141272851.512,376601,50455872.177
1751,10.0901,1324017,13359463.931699999,67446,680536.8846
62,40.4224,1387923,56103178.67520001,381138,15406512.691200001
2151,40.7196,1324081,53916048.6876,2011512,81907964.0352
239,98.774,1447847,143009639.578,93129,9198723.846
1893,44.3029,673142,29822142.7118,51207,2268618.6003
1305,111.513,1107010,123446006.13000001,1138210,126925211.73
1673,34.2884,1380728,47342953.9552,324553,11128403.0852
492,45.4197,909327,41301359.5419,508909,23114494.1073
2249,320.874,1184693,380137181.68200004,1687529,541484180.3460001
264,17.7912,1311849,23339367.928799998,2726600,48509485.92
2123,26.1783,1109172,29036237.3676,438193,11471147.8119
116,27.1629,1251829,34003305.9441,1141338,31002049.9602
1159,18.1708,1384781,25162578.5948,634088,11521886.2304
1270,263.009,1263492,332309767.42800003,2204799,579881980.191
2165,28.2044,1107408,31233778.1952,38123,1075236.3412
1152,171.372,1166363,199881960.036,871797,149401595.48400003
792,79.0312,996649,78766366.4488,72359,5718618.6008
1979,51.6033,1053259,54351640.154699996,346948,17903661.7284
2185,56.1164,1107871,62169732.1844,3055456,171461191.0784

weighted_avg,NA,NA,2657255214.3278,NA,2300137019.31087
weighted_%,NA,NA,0.5360187552432994,NA,0.46398124475670055
weighted_total,4957392233.63867
