Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2264,44.9546,170568,7667816.2128,999,44909.6454,3855244,173310951.9224
812,334.908,63723,21341342.484,891,298403.028,4078609,1365958782.9720001
1358,97.2156,280729,27291238.172399998,6496,631512.5375999999,3275747,318453710.0532
1778,40.8635,350930,14340228.055000002,2878,117605.153,17512017,715602306.6795
828,45.4532,962731,43759204.6892,9299,422669.3068,3457487,157153848.10840002
2213,8.07837,808719,6533131.30803,55726,450175.24662,4051723,32731317.53151
1726,65.5195,95532,6259208.874,1866,122259.38699999999,3931562,257593976.45899996
2054,37.2896,52302,1950320.6592,410,15288.736,3320292,123812360.5632
1903,16.1097,652594,10513093.5618,2525,40676.9925,2531342,40779160.2174
509,133.977,1015893,136106296.461,4982,667473.414,2627875,352074808.875
1751,10.0901,299024,3017182.0623999997,10414,105078.3014,3209413,32383298.1113
62,40.4224,59244,2394784.6656000004,555,22434.432,4102371,165827681.51040003
2151,40.7196,457716,18638012.4336,8535,347541.786,3713461,151210646.5356
239,98.774,96293,9511244.782,86,8494.564,3892129,384441149.846
1893,44.3029,413777,18331521.0533,677,29993.0633,1610918,71368339.0622
1305,111.513,297360,33159505.68,11997,1337821.4610000001,3681272,410509684.536
1673,34.2884,85245,2922914.6580000003,59,2023.0156000000002,4745780,162725202.95200002
492,45.4197,636123,28892515.8231,5678,257893.05659999998,2592829,117765515.33129999
2249,320.874,165536,53116198.464,9713,3116649.162,4307188,1382064642.312
264,17.7912,624517,11110906.8504,67468,1200336.6816,3094361,55052395.4232
2123,26.1783,350031,9163216.5273,559,14633.6697,1867092,48877294.5036
116,27.1629,267622,7269389.6238,1064,28901.3256,2899498,78758774.2242
1159,18.1708,121228,2202809.7424,22234,404009.5672,3422504,62189635.6832
1270,263.009,172004,45238600.036000006,6512,1712714.608,3741760,984116555.84
2165,28.2044,119190,3361682.4359999998,3591,101282.0004,3387542,95543589.5848
1152,171.372,405215,69442504.98,8441,1446551.0520000001,3433731,588445348.932
792,79.0312,75430,5961323.416,74,5848.3088,3727304,294573307.8848
1979,51.6033,629665,32492791.8945,17558,906050.7413999999,2472792,127604227.4136
2185,56.1164,989369,55519826.5516,4712,264420.4768,3104763,174228122.4132

weighted_avg,NA,NA,687508812.1574299,NA,14123650.72032,NA,8925156635.481012
weighted_%,NA,NA,0.0714162121069673,NA,0.0014671195739322772,NA,0.9271166683191003
weighted_total,9626789098.358763
