Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2264,44.9546,0,0.0,0,0.0,0,0.0,4225,189933.185,351330,15793899.617999999
812,334.908,0,0.0,0,0.0,0,0.0,4485,1502062.3800000001,466290,156164251.32
1358,97.2156,0,0.0,0,0.0,0,0.0,68550,6664129.38,2129475,207018189.81
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,950,38820.325000000004
828,45.4532,0,0.0,0,0.0,0,0.0,3145,142950.314,148190,6735709.708000001
2213,8.07837,0,0.0,0,0.0,0,0.0,0,0.0,15410,124487.6817
1726,65.5195,0,0.0,0,0.0,0,0.0,0,0.0,1390,91072.105
2054,37.2896,0,0.0,0,0.0,0,0.0,280,10441.088,42580,1587791.168
1903,16.1097,0,0.0,0,0.0,0,0.0,10,161.097,3740,60250.278
509,133.977,0,0.0,0,0.0,0,0.0,7655,1025593.935,628180,84161671.86
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,0,0.0,0,0.0,0,0.0,1375,55580.8,95370,3855084.288
2151,40.7196,0,0.0,0,0.0,0,0.0,1360,55378.656,120360,4901011.056
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,7065,697838.31
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1305,111.513,65,7248.345,0,0.0,0,0.0,121255,13521508.815000001,3239510,361247478.63
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,11095,380429.798
492,45.4197,0,0.0,0,0.0,0,0.0,28275,1284242.0175,651710,29600472.687
2249,320.874,0,0.0,0,0.0,0,0.0,50490,16200928.260000002,1934405,620700269.97
264,17.7912,1145,20370.924,0,0.0,0,0.0,830,14766.696,167735,2984206.932
2123,26.1783,0,0.0,0,0.0,0,0.0,655,17146.7865,5350,140053.905
116,27.1629,0,0.0,0,0.0,0,0.0,445,12087.4905,24840,674726.436
1159,18.1708,1285,23349.478,0,0.0,0,0.0,940,17080.552,62250,1131132.3
1270,263.009,10005,2631405.045,0,0.0,0,0.0,24845,6534458.605,2753580,724216322.22
2165,28.2044,0,0.0,0,0.0,0,0.0,0,0.0,2105,59370.262
1152,171.372,0,0.0,0,0.0,0,0.0,1500,257058.00000000003,44420,7612344.24
792,79.0312,0,0.0,0,0.0,0,0.0,0,0.0,53430,4222637.016
1979,51.6033,0,0.0,0,0.0,0,0.0,7820,403537.806,312675,16135061.827499999
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,8825,495227.23

weighted_avg,NA,NA,2682373.792,NA,0.0,NA,0.0,NA,47909045.86350001,NA,2250829810.9811993
weighted_%,NA,NA,0.0011655292635229181,NA,0.0,NA,0.0,NA,0.02081715647084986,NA,0.9780173142656272
weighted_total,2301421230.636699
