Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2264,44.9546,0,0.0,0,0.0
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,0,0.0,0,0.0
828,45.4532,0,0.0,0,0.0
2213,8.07837,0,0.0,0,0.0
1726,65.5195,0,0.0,0,0.0
2054,37.2896,0,0.0,0,0.0
1903,16.1097,0,0.0,0,0.0
509,133.977,0,0.0,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,0,0.0,0,0.0
2151,40.7196,0,0.0,0,0.0
239,98.774,0,0.0,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,0,0.0,0,0.0
1673,34.2884,0,0.0,0,0.0
492,45.4197,0,0.0,0,0.0
2249,320.874,0,0.0,0,0.0
264,17.7912,0,0.0,0,0.0
2123,26.1783,0,0.0,0,0.0
116,27.1629,0,0.0,0,0.0
1159,18.1708,0,0.0,0,0.0
1270,263.009,0,0.0,0,0.0
2165,28.2044,0,0.0,0,0.0
1152,171.372,0,0.0,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,0,0.0,0,0.0
2185,56.1164,0,0.0,0,0.0

weighted_avg,NA,NA,0.0,NA,0.0
weighted_%,NA,NA,NA,NA,NA
weighted_total,0.0
