Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10754,483441.7684,6373,286495.6658
812,334.908,80348,26909187.984,11576,3876895.0080000004
1358,97.2156,21815,2120758.314,17559,1707008.7204
1778,40.8635,2,81.727,0,0.0
828,45.4532,200,9090.640000000001,826,37544.3432
2213,8.07837,20,161.5674,139,1122.8934299999999
1726,65.5195,194,12710.783,96,6289.871999999999
2054,37.2896,513,19129.5648,552,20583.8592
1903,16.1097,20,322.194,40,644.388
509,133.977,17371,2327314.467,1926,258039.70200000002
1751,10.0901,0,0.0,0,0.0
62,40.4224,5344,216017.30560000002,1090,44060.416000000005
2151,40.7196,82,3339.0072,643,26182.7028
239,98.774,436,43065.464,130,12840.62
1893,44.3029,0,0.0,0,0.0
1305,111.513,28672,3197300.736,24661,2750022.0930000003
1673,34.2884,172,5897.6048,6,205.73040000000003
492,45.4197,13159,597677.8323,4130,187583.361
2249,320.874,33985,10904902.89,27218,8733548.532000002
264,17.7912,7423,132064.0776,2256,40136.9472
2123,26.1783,21,549.7443,39,1020.9537
116,27.1629,440,11951.676,18,488.9322
1159,18.1708,93,1689.8844,461,8376.7388
1270,263.009,11309,2974368.781,32395,8520176.555
2165,28.2044,210,5922.924,3,84.6132
1152,171.372,1019,174628.06800000003,583,99909.876
792,79.0312,40068,3166622.1215999997,906,71602.2672
1979,51.6033,2187,112856.41709999999,489,25234.0137
2185,56.1164,11,617.2804,34,1907.9576

weighted_avg,NA,NA,53431670.823900014,NA,26718006.761830006
weighted_%,NA,NA,0.6666486058755285,NA,0.3333513941244715
weighted_total,80149677.58573002
