Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,3159,142011.5814,1173,52731.7458
812,334.908,8868,2969964.1440000003,360,120566.88
1358,97.2156,13323,1295203.4388,2232,216985.2192
1778,40.8635,4,163.454,0,0.0
828,45.4532,380,17272.216,225,10226.970000000001
2213,8.07837,24,193.88088,51,411.99687
1726,65.5195,25,1637.9874999999997,4,262.078
2054,37.2896,280,10441.088,159,5929.0464
1903,16.1097,18,289.9746,17,273.8649
509,133.977,6536,875673.672,513,68730.201
1751,10.0901,0,0.0,0,0.0
62,40.4224,758,30640.179200000002,189,7639.833600000001
2151,40.7196,184,7492.4064,203,8266.0788
239,98.774,121,11951.654,13,1284.062
1893,44.3029,0,0.0,0,0.0
1305,111.513,17823,1987496.199,3096,345244.248
1673,34.2884,111,3806.0124000000005,24,822.9216000000001
492,45.4197,5663,257211.7611,703,31930.0491
2249,320.874,21187,6798357.438,3428,1099956.0720000002
264,17.7912,1148,20424.2976,383,6814.0296
2123,26.1783,52,1361.2716,2,52.3566
116,27.1629,315,8556.3135,38,1032.1902
1159,18.1708,149,2707.4492,237,4306.4796
1270,263.009,9994,2628511.946,7502,1973093.5180000002
2165,28.2044,3,84.6132,0,0.0
1152,171.372,502,86028.744,137,23477.964000000004
792,79.0312,829,65516.864799999996,6,474.18719999999996
1979,51.6033,1390,71728.587,130,6708.429
2185,56.1164,10,561.164,30,1683.492

weighted_avg,NA,NA,17295288.33818,NA,3988903.9134700005
weighted_%,NA,NA,0.8125884287123571,NA,0.18741157128764288
weighted_total,21284192.25165
