Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,214491352,9642372932.6192
812,334.908,192093572,64333674011.376
1358,97.2156,413785048,40226361712.3488
1778,40.8635,338823198,13845501751.473001
828,45.4532,1754750560,79759028153.792
2213,8.07837,759728629,6137368964.65473
1726,65.5195,27623875,1809902478.0624998
2054,37.2896,325130975,12124004005.36
1903,16.1097,23724597,382196140.2909
509,133.977,230356907,30862527329.139
1751,10.0901,0,0.0
62,40.4224,116902138,4725464983.091201
2151,40.7196,1709460990,69608567728.404
239,98.774,35321726,3488868163.9240003
1893,44.3029,0,0.0
1305,111.513,564359104,62933376764.352005
1673,34.2884,281017341,9635634995.144402
492,45.4197,276410654,12554488981.483799
2249,320.874,477007702,153059369371.548
264,17.7912,868310109,15448278811.2408
2123,26.1783,215663979,5645716341.4557
116,27.1629,1033656111,28077097577.4819
1159,18.1708,424504398,7713584515.1784
1270,263.009,833810709,219299720763.381
2165,28.2044,2764065,77958794.88599999
1152,171.372,211732409,36285006395.148
792,79.0312,39528322,3123970721.6464
1979,51.6033,166753524,8605032125.0292
2185,56.1164,2820936487,158300800279.0868

weighted_avg,NA,NA,1057705874791.5977
weighted_%,NA,NA,1.0
weighted_total,1057705874791.5977
