Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,5163,232100.5998,2395,107666.26699999999
812,334.908,47516,15913488.528,3656,1224423.648
1358,97.2156,32655,3174575.418,6104,593404.0224
1778,40.8635,8,326.908,16,653.816
828,45.4532,560,25453.792,272,12363.270400000001
2213,8.07837,72,581.64264,57,460.46709
1726,65.5195,9,589.6754999999999,1,65.5195
2054,37.2896,495,18458.352,217,8091.8432
1903,16.1097,57,918.2529,9,144.9873
509,133.977,5439,728700.903,316,42336.732
1751,10.0901,0,0.0,0,0.0
62,40.4224,1731,69971.1744,220,8892.928
2151,40.7196,421,17142.9516,298,12134.4408
239,98.774,170,16791.58,21,2074.254
1893,44.3029,0,0.0,0,0.0
1305,111.513,42183,4703952.879000001,7926,883852.0380000001
1673,34.2884,70,2400.188,33,1131.5172
492,45.4197,7720,350640.084,920,41786.123999999996
2249,320.874,64759,20779479.366,12768,4096919.2320000003
264,17.7912,4487,79829.1144,917,16314.5304
2123,26.1783,16,418.8528,7,183.2481
116,27.1629,205,5568.3945,97,2634.8013
1159,18.1708,303,5505.7524,222,4033.9175999999998
1270,263.009,27822,7317436.398,14178,3728941.6020000004
2165,28.2044,85,2397.374,0,0.0
1152,171.372,336,57580.992000000006,148,25363.056
792,79.0312,4202,332089.1024,3,237.09359999999998
1979,51.6033,406,20950.9398,45,2322.1485
2185,56.1164,56,3142.5184,49,2749.7036

weighted_avg,NA,NA,53860491.733540006,NA,10819181.20799
weighted_%,NA,NA,0.8327267174376335,NA,0.1672732825623665
weighted_total,64679672.941530004
