Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,121660330,26454673777.510002
2298,16.1495,89521069,1445720503.8155
2235,73.9095,395925218,29262634899.770996
562,151.883,98875701,15017538094.983002
2322,74.3347,128411684,9545444006.6348
533,77.6496,268412782,20842145157.187202
655,136.191,134995366,18385153890.906002
414,208.958,121829796,25457310512.568
253,149.505,147434368,22042175187.84
853,129.616,393830170,51046691314.72001
907,262.418,122355080,32108175383.440002
1114,12.9007,233943198,3018031014.4386
939,1055.11,109554694,115592253186.34
2606,11.2554,1591289526,17910600130.9404
2837,150.956,128100725,19337573043.1
1793,150.359,573319444,86203738280.39601
1046,85.9267,127470274,10953099992.9158
554,46.3771,103338426,4792536516.4446
1970,47.9169,2512835432,120407284111.6008

weighted_avg,NA,NA,629822779005.5516
weighted_%,NA,NA,1.0
weighted_total,629822779005.5516
