Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,97054388,21104185507.436
2298,16.1495,0,0.0
2235,73.9095,1295925848,95781231462.756
562,151.883,362617277,55075399882.591
2322,74.3347,82157954,6107186863.2038
533,77.6496,650398486,50503182278.50561
655,136.191,1458033673,198571063959.543
414,208.958,644028681,134574945124.398
253,149.505,122627489,18333422742.945
853,129.616,1264509411,163900651816.17603
907,262.418,133134914,34936997862.052
1114,12.9007,26278268,339008051.9876
939,1055.11,475860511,502085183761.20996
2606,11.2554,2944768830,33144551089.182
2837,150.956,97338121,14693773393.675999
1793,150.359,2151539565,323503337453.835
1046,85.9267,93398304,8025408048.3168
554,46.3771,222470496,10317536440.0416
1970,47.9169,511238682,24496972801.5258

weighted_avg,NA,NA,1695494038539.3809
weighted_%,NA,NA,1.0
weighted_total,1695494038539.3809
