Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,158125,34383806.875
2298,16.1495,0,0.0
2235,73.9095,24540,1813739.13
562,151.883,240245,36489131.335
2322,74.3347,7870,585014.089
533,77.6496,663015,51482849.54400001
655,136.191,95085,12949721.235
414,208.958,2545760,531956918.08
253,149.505,491185,73434613.425
853,129.616,47120,6107505.920000001
907,262.418,132675,34816308.15
1114,12.9007,4685,60439.779500000004
939,1055.11,2721680,2871671784.7999997
2606,11.2554,60985,686410.569
2837,150.956,300265,45326803.339999996
1793,150.359,70620,10618352.58
1046,85.9267,466435,40079220.3145
554,46.3771,64500,2991322.9499999997
1970,47.9169,2415110,115724584.359

weighted_avg,NA,NA,3871178526.4749994
weighted_%,NA,NA,1.0
weighted_total,3871178526.4749994
