Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2766,217.447,1040,226144.88,0,0.0,0,0.0,1060,230493.82,145290,31592874.63
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,0,0.0,21830,1613444.3849999998
562,151.883,3445,523236.93500000006,0,0.0,0,0.0,980,148845.34,199770,30341666.91
2322,74.3347,0,0.0,0,0.0,0,0.0,0,0.0,7245,538554.9015
533,77.6496,7335,569559.816,0,0.0,0,0.0,2285,177429.336,541300,42031728.480000004
655,136.191,3825,520930.575,0,0.0,0,0.0,0,0.0,62855,8560285.305
414,208.958,56920,11893889.36,0,0.0,65,13582.27,24805,5183203.19,2091915,437122374.57
253,149.505,650,97178.25,0,0.0,0,0.0,8175,1222203.375,452710,67682408.55
853,129.616,965,125079.44000000002,0,0.0,0,0.0,0,0.0,37935,4916982.960000001
907,262.418,585,153514.53,0,0.0,0,0.0,215,56419.87,108105,28368697.89
1114,12.9007,0,0.0,0,0.0,0,0.0,0,0.0,4575,59020.7025
939,1055.11,42270,44599499.699999996,0,0.0,0,0.0,38250,40357957.49999999,2279175,2404780334.25
2606,11.2554,7950,89480.43,0,0.0,0,0.0,0,0.0,30760,346216.104
2837,150.956,2015,304176.33999999997,0,0.0,0,0.0,3420,516269.51999999996,265510,40080327.559999995
1793,150.359,10110,1520129.49,0,0.0,0,0.0,0,0.0,46120,6934557.08
1046,85.9267,2650,227705.755,0,0.0,0,0.0,4835,415455.5945,422115,36270948.9705
554,46.3771,520,24116.092,0,0.0,0,0.0,135,6260.9085,54175,2512479.3925
1970,47.9169,50010,2396324.1689999998,0,0.0,0,0.0,77595,3718111.8555,2229390,106825457.691

weighted_avg,NA,NA,63270965.762,NA,0.0,NA,13582.27,NA,52032650.309499994,NA,3250578360.332
weighted_%,NA,NA,0.0187976616205332,NA,0.0,NA,4.035261868123079e-06,NA,0.01545878337651275,NA,0.965739519741086
weighted_total,3365895558.6734996
