Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1797962,390961443.014,3477,756063.219
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1695008,125277193.776,77,5691.031499999999
562,151.883,1461338,221952399.45400003,2276,345685.70800000004
2322,74.3347,1563021,116186697.1287,36,2676.0492
533,77.6496,2356140,182953328.54400003,1960,152193.21600000001
655,136.191,1250591,170319238.881,242,32958.222
414,208.958,1892313,395413939.854,14152,2957173.616
253,149.505,1604494,239879875.47,7515,1123530.075
853,129.616,2474518,320737125.08800006,125,16202.000000000002
907,262.418,2105951,552639449.518,2116,555276.488
1114,12.9007,471823,6086846.976100001,21,270.91470000000004
939,1055.11,2072371,2186579365.81,24062,25388056.819999997
2606,11.2554,1288132,14498440.9128,112,1260.6048
2837,150.956,1653533,249610727.54799998,5835,880828.2599999999
1793,150.359,1989020,299067058.18,133,19997.747
1046,85.9267,1299720,111680650.52399999,8206,705114.5002
554,46.3771,1754304,81359532.0384,494,22910.2874
1970,47.9169,977200,46824394.68,6156,294976.4364

weighted_avg,NA,NA,5732957685.490001,NA,33260865.1952
weighted_%,NA,NA,0.9942317716710117,NA,0.00576822832898826
weighted_total,5766218550.685201
