Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1560196,339259939.612,339962,73923717.014
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1512109,111759220.13549998,324553,23987549.9535
562,151.883,1176094,178628685.002,884696,134370282.56800002
2322,74.3347,1461381,108631318.2207,265768,19755784.549599998
533,77.6496,1547108,120132317.3568,1654550,128475145.68
655,136.191,1186771,161627529.261,161888,22047688.608
414,208.958,1407918,294195729.444,990551,206983555.858
253,149.505,1155765,172792646.325,581488,86935363.44
853,129.616,1793642,232484701.47200003,1238543,160534989.488
907,262.418,1411965,370525031.37,1758132,461365483.176
1114,12.9007,411773,5312159.9411,155385,2004575.2695000002
939,1055.11,1274917,1345177675.87,1599905,1688075764.55
2606,11.2554,1371917,15441474.6018,174170,1960353.018
2837,150.956,1266608,191202077.248,713055,107639930.58
1793,150.359,1432178,215340851.902,1084782,163106736.738
1046,85.9267,1111863,95538718.4421,271804,23355220.766799998
554,46.3771,1365781,63340962.015099995,797137,36968902.3627
1970,47.9169,1325798,63528130.1862,30204,1447282.0476

weighted_avg,NA,NA,4105537008.9623,NA,3343467027.9986997
weighted_%,NA,NA,0.5511524746920734,NA,0.4488475253079266
weighted_total,7449004036.9609995
