Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,100462,21845160.514,30088,6542545.336
2298,16.1495,0,0.0,0,0.0
2235,73.9095,53,3917.2034999999996,879,64966.45049999999
562,151.883,15457,2347655.531,12745,1935748.8350000002
2322,74.3347,10,743.347,29,2155.7063
533,77.6496,2027,157395.7392,10448,811283.0208
655,136.191,64,8716.224,970,132105.27
414,208.958,71835,15010497.93,107307,22422656.106
253,149.505,112298,16789112.49,38747,5792870.234999999
853,129.616,100,12961.600000000002,1001,129745.61600000001
907,262.418,11130,2920712.34,14506,3806635.508
1114,12.9007,823,10617.276100000001,306,3947.6142
939,1055.11,163114,172103212.54,186262,196526898.82
2606,11.2554,34,382.6836,310,3489.174
2837,150.956,137213,20713125.628,65367,9867540.852
1793,150.359,65,9773.335000000001,1188,178626.492
1046,85.9267,89357,7678152.131899999,22107,1899581.5569
554,46.3771,2011,93264.3481,3421,158656.05909999998
1970,47.9169,2759,132202.7271,2549,122140.17809999999

weighted_avg,NA,NA,259837603.58850002,NA,250401592.8299
weighted_%,NA,NA,0.5092466541426409,NA,0.49075334585735897
weighted_total,510239196.41840005
