Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,91346,19862913.662,9116,1982246.852
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,52,3843.294
562,151.883,12276,1864515.708,3181,483139.82300000003
2322,74.3347,4,297.3388,6,446.0082
533,77.6496,720,55907.71200000001,1307,101488.02720000001
655,136.191,18,2451.438,46,6264.786
414,208.958,53495,11178208.209999999,18340,3832289.7199999997
253,149.505,103151,15421590.254999999,9147,1367522.2349999999
853,129.616,7,907.3120000000001,93,12054.288
907,262.418,7554,1982305.5720000002,3576,938406.768
1114,12.9007,761,9817.432700000001,62,799.8434
939,1055.11,122235,128971370.85,40879,43131841.69
2606,11.2554,3,33.7662,31,348.9174
2837,150.956,121328,18315189.568,15885,2397936.0599999996
1793,150.359,4,601.436,61,9171.899000000001
1046,85.9267,83694,7191549.2298,5663,486602.9021
554,46.3771,1386,64278.660599999996,625,28985.6875
1970,47.9169,2155,103260.91949999999,604,28941.8076

weighted_avg,NA,NA,205025272.98009995,NA,54812330.608399995
weighted_%,NA,NA,0.7890515851000331,NA,0.21094841489996682
weighted_total,259837603.58849993
