Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4095114,890470253.9580001
2298,16.1495,2878184,46481232.508
2235,73.9095,12403291,916721036.1644999
562,151.883,3910115,593879996.5450001
2322,74.3347,4276930,317924308.471
533,77.6496,9330342,724497324.1632
655,136.191,4292588,584611852.308
414,208.958,4671242,976093385.836
253,149.505,5035216,752789968.0799999
853,129.616,12747712,1652307438.5920002
907,262.418,5285723,1387068858.214
1114,12.9007,7843338,101184550.53660001
939,1055.11,4733211,4994058258.209999
2606,11.2554,48694934,548080960.1436
2837,150.956,4619662,697365696.872
1793,150.359,18276617,2748053855.5030003
1046,85.9267,4229067,363389771.3889
554,46.3771,3763221,174527276.6391
1970,47.9169,76573490,3669164262.981

weighted_avg,NA,NA,22138670287.1139
weighted_%,NA,NA,1.0
weighted_total,22138670287.1139
