Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,683070917,148531721688.899
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2316949876,171244606860.222
562,151.883,687183917,104371554865.71101
2322,74.3347,702969839,52255052091.1133
533,77.6496,1558840832,121043367068.46721
655,136.191,946661022,128926711247.202
414,208.958,864182760,180577901164.08
253,149.505,954154388,142650851777.94
853,129.616,2212737566,286806192354.656
907,262.418,922074028,241968822279.704
1114,12.9007,1253695357,16173547692.0499
939,1055.11,843630801,890123294443.1099
2606,11.2554,7594459495,85478679400.023
2837,150.956,904591759,136553553571.60399
1793,150.359,3203118189,481617647779.851
1046,85.9267,853904673,73373210665.4691
554,46.3771,664030319,30795800507.2949
1970,47.9169,9923511797,475503922425.6693

weighted_avg,NA,NA,3776304730728.1636
weighted_%,NA,NA,1.0
weighted_total,3776304730728.1636
