Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150402,32704463.694000002,6466,1406012.302,4568924,993498817.028
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616773,45585384.0435,43655,3226519.2224999997,3265668,241363889.04599997
562,151.883,122704,18636651.632000003,1153,175121.09900000002,3476439,528011984.637
2322,74.3347,86862,6456860.711399999,16,1189.3552,3304549,245642658.5503
533,77.6496,701936,54505049.6256,7883,612111.7968,3639891,282636080.1936
655,136.191,240608,32768644.128000002,3844,523518.204,4774357,650224454.187
414,208.958,291376,60885346.208,6478,1353629.9239999999,3913787,817817103.946
253,149.505,692373,103513225.365,9107,1361542.035,2962085,442846517.925
853,129.616,639962,82949314.59200001,1503,194812.84800000003,2794954,362270757.66400003
907,262.418,95689,25110516.002,902,236701.036,4141757,1086871588.426
1114,12.9007,641983,8282030.0881,1943,25066.060100000002,6082089,78463205.5623
939,1055.11,168385,177664697.35,6802,7176858.22,3782605,3991064361.5499997
2606,11.2554,5151203,57978850.2462,17216,193772.9664,3269031,36794251.5174
2837,150.956,243068,36692573.007999994,6166,930794.6959999999,4413312,666215926.272
1793,150.359,954909,143579162.331,75898,11411947.382000001,3088163,464333100.517
1046,85.9267,724470,62251316.349,8712,748593.4103999999,3180847,273319685.9149
554,46.3771,134460,6235864.865999999,1740,80696.154,3431902,159161662.2442
1970,47.9169,52147574,2498750088.6006,4269,204557.2461,12333151,590966363.1518999

weighted_avg,NA,NA,3454601087.4098997,NA,29867739.724499997,NA,11947236342.3846
weighted_%,NA,NA,0.2238638601153095,NA,0.0019354788985662668,NA,0.7742006609861243
weighted_total,15431705169.519
