Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,58429662,12705354712.914
2298,16.1495,0,0.0
2235,73.9095,403499418,29822440234.670998
562,151.883,211376452,32104489659.116
2322,74.3347,29058414,2160048487.1658
533,77.6496,132668783,10301677932.4368
655,136.191,57316718,7806021141.1380005
414,208.958,1816089926,379486518757.108
253,149.505,34748693,5195103346.965
853,129.616,331882634,43017299488.54401
907,262.418,93936812,24650710331.416
1114,12.9007,2408191,31067349.633700002
939,1055.11,1280470706,1351037446607.66
2606,11.2554,910089852,10243425320.2008
2837,150.956,23129724,3491570616.1439996
1793,150.359,547414457,82308690340.063
1046,85.9267,36843408,3165832466.1935997
554,46.3771,42559015,1973763694.5565
1970,47.9169,14757106,707114772.4914

weighted_avg,NA,NA,2000208575258.4175
weighted_%,NA,NA,1.0
weighted_total,2000208575258.4175
