Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,2995,651253.765,309,67191.123
2298,16.1495,0,0.0,0,0.0
2235,73.9095,25,1847.7375,45,3325.9275
562,151.883,1534,232988.52200000003,642,97508.88600000001
2322,74.3347,23,1709.6981,11,817.6817
533,77.6496,835,64837.416000000005,964,74854.21440000001
655,136.191,71,9669.561,146,19883.886
414,208.958,7363,1538557.754,4676,977087.608
253,149.505,6564,981350.82,870,130069.34999999999
853,129.616,55,7128.880000000001,66,8554.656
907,262.418,1494,392052.492,582,152727.276
1114,12.9007,17,219.3119,3,38.7021
939,1055.11,15244,16084096.839999998,6382,6733712.02
2606,11.2554,32,360.1728,55,619.047
2837,150.956,4884,737269.1039999999,889,134199.884
1793,150.359,19,2856.8210000000004,72,10825.848
1046,85.9267,7317,628725.6638999999,764,65647.9988
554,46.3771,321,14887.0491,155,7188.4505
1970,47.9169,4339,207911.42909999998,427,20460.5163

weighted_avg,NA,NA,21557723.037399996,NA,8504713.0753
weighted_%,NA,NA,0.7170983401539055,NA,0.28290165984609444
weighted_total,30062436.112699997
