Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,100864,21932574.208,31104,6763471.488
2298,16.1495,0,0.0,0,0.0
2235,73.9095,67,4951.9365,1013,74870.3235
562,151.883,15826,2403700.358,14381,2184229.423
2322,74.3347,18,1338.0246,35,2601.7145
533,77.6496,2337,181467.11520000003,13229,1027226.5584000001
655,136.191,128,17432.448,1749,238198.059
414,208.958,75479,15771940.882,138157,28869010.406
253,149.505,116764,17456801.82,40391,6038656.455
853,129.616,128,16590.848,1128,146206.84800000003
907,262.418,11422,2997338.396,15320,4020243.7600000002
1114,12.9007,825,10643.077500000001,312,4025.0184
939,1055.11,170975,180397432.24999997,221543,233752234.73
2606,11.2554,66,742.8564,576,6483.1104
2837,150.956,138192,20860911.551999997,65307,9858483.491999999
1793,150.359,82,12329.438,1318,198173.162
1046,85.9267,95224,8182284.0808,24402,2096783.3334
554,46.3771,2054,95258.5634,3619,167838.7249
1970,47.9169,3574,171255.0006,2646,126788.11739999999

weighted_avg,NA,NA,270514992.8549999,NA,295575524.7239
weighted_%,NA,NA,0.47786526086315584,NA,0.5221347391368443
weighted_total,566090517.5788999
