Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,31696,6892200.112,3630,789332.61
2298,16.1495,0,0.0,0,0.0
2235,73.9095,25,1847.7375,71,5247.5745
562,151.883,3855,585508.9650000001,2303,349786.549
2322,74.3347,17,1263.6898999999999,12,892.0164
533,77.6496,787,61110.2352,3422,265716.93120000005
655,136.191,100,13619.1,309,42083.019
414,208.958,19362,4045844.796,26404,5517327.032
253,149.505,30702,4590102.51,4502,673071.51
853,129.616,49,6351.184000000001,170,22034.72
907,262.418,4597,1206335.546,2196,576269.928
1114,12.9007,1,12.9007,0,0.0
939,1055.11,38658,40788442.379999995,37251,39303902.61
2606,11.2554,31,348.9174,186,2093.5044
2837,150.956,30582,4616536.392,7887,1190589.9719999998
1793,150.359,20,3007.1800000000003,273,41048.007000000005
1046,85.9267,25163,2162173.5521,3134,269294.2778
554,46.3771,826,38307.484599999996,747,34643.693699999996
1970,47.9169,7478,358322.5782,1072,51366.9168

weighted_avg,NA,NA,65371335.26059999,NA,49134700.871800005
weighted_%,NA,NA,0.5708985959920315,NA,0.4291014040079684
weighted_total,114506036.1324
