Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2766,217.447,1984188,431455728.036,147535,32081043.145,289,62842.183,73,15873.631
2298,16.1495,1315266,21240888.267,0,0.0,0,0.0,0,0.0
2235,73.9095,1942947,143602241.2965,0,0.0,0,0.0,356,26311.782
562,151.883,2246015,341131496.245,21794,3310138.1020000004,3588,544956.204,1848,280679.78400000004
2322,74.3347,1782611,132509853.90169999,19,1412.3593,26,1932.7022,111,8251.1517
533,77.6496,3480641,270270381.39360005,2719,211129.2624,1807,140312.8272,7296,566531.4816
655,136.191,1387709,188993476.419,14,1906.674,18,2451.438,1158,157709.178
414,208.958,2665731,557025818.298,127938,26733668.604,22988,4803526.504,29380,6139186.04
253,149.505,1842255,275426333.775,143165,21403883.325,24189,3616376.445,1047,156531.735
853,129.616,3299470,427664103.52000004,0,0.0,3,388.84800000000007,596,77251.13600000001
907,262.418,3470981,910847892.058,20221,5306354.3780000005,1063,278950.33400000003,619,162436.742
1114,12.9007,601355,7757900.4485,1345,17351.4415,6,77.4042,16,206.4112
939,1055.11,3239376,3417898011.3599997,286670,302468383.7,32161,33933392.70999999,24555,25908226.049999997
2606,11.2554,1794213,20194585.0002,1,11.2554,1,11.2554,1534,17265.7836
2837,150.956,2112963,318964442.62799996,190363,28736437.027999997,1184,178731.90399999998,303,45739.668
1793,150.359,2773104,416961144.336,1,150.359,5,751.7950000000001,2102,316054.618
1046,85.9267,1441233,123840395.6211,107013,9195273.9471,25599,2199637.5933,1412,121328.50039999999
554,46.3771,2295940,106479038.97399999,2789,129345.7319,1334,61867.0514,692,32092.9532
1970,47.9169,1366434,65475281.334599994,67,3210.4323,43,2060.4267,26333,1261795.7277

weighted_avg,NA,NA,8177739012.912202,NA,429599699.7448999,NA,45828267.6254,NA,35293472.373399995
weighted_%,NA,NA,0.9412184192439315,NA,0.04944485873945357,NA,0.0052746131348726044,NA,0.004062108881742269
weighted_total,8688460452.655903
