Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,1578,343131.366,7100,1543873.7
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,220,16260.089999999998
562,151.883,292,44349.836,3224,489670.792
2322,74.3347,1,74.3347,81,6021.1107
533,77.6496,54,4193.0784,3610,280315.05600000004
655,136.191,1,136.191,576,78446.016
414,208.958,1750,365676.5,46733,9765234.214
253,149.505,3341,499496.20499999996,9182,1372754.91
853,129.616,1,129.616,262,33959.39200000001
907,262.418,243,63767.574,1844,483898.792
1114,12.9007,1,12.9007,7,90.3049
939,1055.11,3556,3751971.1599999997,76310,80515444.1
2606,11.2554,1,11.2554,291,3275.3214
2837,150.956,3550,535893.7999999999,6754,1019556.8239999999
1793,150.359,0,0.0,277,41649.443
1046,85.9267,2087,179329.02289999998,6110,525012.137
554,46.3771,40,1855.0839999999998,362,16788.5102
1970,47.9169,90,4312.521,60,2875.014

weighted_avg,NA,NA,5794414.354599999,NA,96195125.72719999
weighted_%,NA,NA,0.05681381002358311,NA,0.9431861899764169
weighted_total,101989540.08179998
