Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,2899,630378.853,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,28,2069.466,0,0.0
562,151.883,1293,196384.719,0,0.0
2322,74.3347,26,1932.7022,0,0.0
533,77.6496,585,45425.016,0,0.0
655,136.191,74,10078.134,0,0.0
414,208.958,5907,1234314.906,0,0.0
253,149.505,3369,503682.345,0,0.0
853,129.616,49,6351.184000000001,0,0.0
907,262.418,1321,346654.178,0,0.0
1114,12.9007,15,193.5105,0,0.0
939,1055.11,13066,13786067.259999998,0,0.0
2606,11.2554,26,292.6404,0,0.0
2837,150.956,4053,611824.668,0,0.0
1793,150.359,23,3458.257,0,0.0
1046,85.9267,2172,186632.7924,0,0.0
554,46.3771,235,10898.6185,0,0.0
1970,47.9169,3518,168571.6542,0,0.0

weighted_avg,NA,NA,17745210.9042,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,17745210.9042
