Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,8197,1782413.0590000001,481,104592.007
2298,16.1495,0,0.0,0,0.0
2235,73.9095,126,9312.597,95,7021.402499999999
562,151.883,2591,393528.853,925,140491.77500000002
2322,74.3347,35,2601.7145,47,3493.7309
533,77.6496,2519,195599.34240000002,1145,88908.792
655,136.191,346,47122.086,231,31460.121
414,208.958,33575,7015764.85,14908,3115145.864
253,149.505,11957,1787631.285,566,84619.83
853,129.616,150,19442.4,113,14646.608000000002
907,262.418,1718,450834.124,369,96832.242
1114,12.9007,7,90.3049,1,12.9007
939,1055.11,61885,65295482.349999994,17981,18971932.909999996
2606,11.2554,179,2014.7166,113,1271.8602
2837,150.956,9794,1478463.0639999998,510,76987.56
1793,150.359,94,14133.746000000001,183,27515.697
1046,85.9267,7650,657339.255,547,47001.9049
554,46.3771,274,12707.3254,128,5936.2688
1970,47.9169,140,6708.366,10,479.169

weighted_avg,NA,NA,79171189.43879998,NA,22818350.642999995
weighted_%,NA,NA,0.7762677366257491,NA,0.22373226337425095
weighted_total,101989540.08179997
