Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,148200,32225645.400000002
2298,16.1495,0,0.0
2235,73.9095,31605,2335909.7474999996
562,151.883,185715,28206951.345000003
2322,74.3347,16260,1208682.222
533,77.6496,609785,47349561.336
655,136.191,111175,15141034.425
414,208.958,2139785,447125194.03
253,149.505,382195,57140063.475
853,129.616,50785,6582548.5600000005
907,262.418,121115,31782756.07
1114,12.9007,5650,72888.955
939,1055.11,2485890,2622887397.8999996
2606,11.2554,48400,544761.36
2837,150.956,293150,44252751.4
1793,150.359,71865,10805549.535
1046,85.9267,283985,24401893.899499997
554,46.3771,59375,2753640.3125
1970,47.9169,1934725,92706024.35249999

weighted_avg,NA,NA,3467523254.325
weighted_%,NA,NA,1.0
weighted_total,3467523254.325
