Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,114882095,24980766911.465
2298,16.1495,0,0.0
2235,73.9095,2484447811,183624295487.1045
562,151.883,433986592,65915185552.73601
2322,74.3347,322543202,23976152157.7094
533,77.6496,781196572,60659601337.1712
655,136.191,1590870217,216662205723.447
414,208.958,816972047,170712844997.026
253,149.505,133961827,20027962945.635
853,129.616,1947816131,252468135635.696
907,262.418,141869718,37229167658.124
1114,12.9007,42375734,546676631.6138
939,1055.11,619522273,653664145465.0299
2606,11.2554,3962429054,44598723974.3916
2837,150.956,108527982,16382950050.791998
1793,150.359,3616271821,543739014733.739
1046,85.9267,104225441,8955748201.1747
554,46.3771,343049622,15909646624.4562
1970,47.9169,624002150,29900248621.335

weighted_avg,NA,NA,2369953472708.6465
weighted_%,NA,NA,1.0
weighted_total,2369953472708.6465
