Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,8678,1887005.066
2298,16.1495,0,0.0
2235,73.9095,221,16333.999499999998
562,151.883,3516,534020.628
2322,74.3347,82,6095.4454
533,77.6496,3664,284508.13440000004
655,136.191,577,78582.207
414,208.958,48483,10130910.714
253,149.505,12523,1872251.115
853,129.616,263,34089.008
907,262.418,2087,547666.366
1114,12.9007,8,103.2056
939,1055.11,79866,84267415.25999999
2606,11.2554,292,3286.5768
2837,150.956,10304,1555450.6239999998
1793,150.359,277,41649.443
1046,85.9267,8197,704341.1599
554,46.3771,402,18643.5942
1970,47.9169,150,7187.535

weighted_avg,NA,NA,101989540.08179998
weighted_%,NA,NA,1.0
weighted_total,101989540.08179998
